Mærke,Navn,Adresse,Postnr,By,Latitude,Longitude
OK,OK Knebel,"Tved Bygade 48, 8420 Knebel",8420,Knebel,56.197051,10.433309
OK,OK Knebel,"Vrinners Bygade 37, 8420 Knebel",8420,Knebel,56.242939,10.493078
OK,OK Hammel,"Hollandsvej 1, 8450 Hammel",8450,Hammel,56.242773,9.864328
OK,OK Harlev J,"Gammel Stillingvej 4, 8462 Harlev J",8462,Harlev J,56.144746,10.001434
OK,OK Galten,"Søndergade 41, 8464 Galten",8464,Galten,56.14985,9.902568
OK,OK Galten,"Hørslevvej 35, 8464 Galten",8464,Galten,56.159164,9.952585
OK,OK Galten,"Ladingvej 1, 8464 Galten",8464,Galten,56.18448,9.962909
OK,OK Galten,"Erhvervsparken Klank 2, 8464 Galten",8464,Galten,56.146594,9.918263
OK,OK Sabro,"Larixvej 2, 8471 Sabro",8471,Sabro,56.207831,10.037167
OK,OK Grenaa,"Dolmervej 2-, 8500 Grenaa",8500,Grenaa,56.459974,10.86777
OK,OK Grenaa,"Århusvej 48, 8500 Grenaa",8500,Grenaa,56.406347,10.873196
OK,OK Lystrup,"Lystrup Centervej 53, 8520 Lystrup",8520,Lystrup,56.237209,10.233947
OK,OK Skødstrup,"Kløvervangen 108, 8541 Skødstrup",8541,Skødstrup,56.262703,10.300907
OK,OK Hornslet,"Landevejen 73, 8543 Hornslet",8543,Hornslet,56.300313,10.363886
OK,OK Hornslet,"Toftevej 11, 8543 Hornslet",8543,Hornslet,56.314383,10.319663
OK,OK Mørke,"Randersvej 67, 8544 Mørke",8544,Mørke,56.357254,10.339988
OK,OK Ryomgård,"Vestergade 63, 8550 Ryomgård",8550,Ryomgård,56.381744,10.491633
OK,OK Trustrup,"Århusvej 192, 8570 Trustrup",8570,Trustrup,56.351139,10.780405
OK,OK Nimtofte,"Torvet 8, 8581 Nimtofte",8581,Nimtofte,56.40875,10.56857
OK,OK Glesborg,"Bønnerupvej 12, 8585 Glesborg",8585,Glesborg,56.5287,10.7053
OK,OK Glesborg,"Glesborg Bygade 54, 8585 Glesborg",8585,Glesborg,56.478543,10.72528
OK,OK Glesborg,"Strandvejen 6, 8585 Glesborg",8585,Glesborg,56.506421,10.588298
OK,OK Ørum Djurs,"Skolebakken 40, 8586 Ørum Djurs",8586,Ørum Djurs,56.439564,10.687782
OK,OK Silkeborg,"Borgdalsvej 1, 8600 Silkeborg",8600,Silkeborg,56.154044,9.638055
OK,OK Silkeborg,"Nordre Ringvej 110, 8600 Silkeborg",8600,Silkeborg,56.184935,9.540275
OK,OK Silkeborg,"Julsøvej 93, 8600 Silkeborg",8600,Silkeborg,56.139826,9.607414
OK,OK Silkeborg,"Hjaltesvej 2, 8600 Silkeborg",8600,Silkeborg,56.189907,9.692675
OK,OK Silkeborg,"Vestre Ringvej 24, 8600 Silkeborg",8600,Silkeborg,56.161908,9.507207
OK,OK Kjellerup,"Bryggertorvet 9, 8620 Kjellerup",8620,Kjellerup,56.289353,9.432344
OK,OK Kjellerup,"Parallelvej 2, 8620 Kjellerup",8620,Kjellerup,56.286219,9.415021
OK,OK Sorring,"Hovedgaden 16, 8641 Sorring",8641,Sorring,56.176822,9.775368
OK,OK Ans By,"Søndermarksgade 14, 8643 Ans By",8643,Ans By,56.305895,9.594282
OK,OK Them,"Them-Centret 10, 8653 Them",8653,Them,56.094122,9.547853
OK,OK Skanderborg,"Østjyske Motorvej 536A, 8660 Skanderborg",8660,Skanderborg,55.979582,9.865077
OK,OK Skanderborg,"Østjyske Motorvej 545, 8660 Skanderborg",8660,Skanderborg,55.977361,9.870361
OK,OK Skanderborg,"Hotelvej 3, 8660 Skanderborg",8660,Skanderborg,56.06152,9.984177
OK,OK Skanderborg,"Vroldvej 57, 8660 Skanderborg",8660,Skanderborg,56.037631,9.9104
OK,OK Ry,"Siimtoften 4, 8680 Ry",8680,Ry,56.093818,9.754639
OK,OK Ry,"Randersvej 25, 8680 Ry",8680,Ry,56.094976,9.760954
OK,OK Horsens,"Orionvej 4B, 8700 Horsens",8700,Horsens,55.8363,9.7882
OK,OK Horsens,"Langagergård 1, 8700 Horsens",8700,Horsens,55.901055,9.830139
OK,OK Horsens,"Rosenkrantzvej 1, 8700 Horsens",8700,Horsens,55.876914,9.809365
OK,OK Horsens,"Præstemarksvej 1, 8700 Horsens",8700,Horsens,55.854636,9.766984
OK,OK Horsens,"Brådhusvej 1, 8700 Horsens",8700,Horsens,55.872901,9.912687
OK,OK Horsens,"Silkeborgvej 199, 8700 Horsens",8700,Horsens,55.895304,9.765325
OK,OK Horsens,"Langmarksvej 105, 8700 Horsens",8700,Horsens,55.867719,9.882169
OK,OK Horsens,"Vejlevej 82, 8700 Horsens",8700,Horsens,55.843409,9.820589
OK,OK Horsens,"Haldrupvej 3, 8700 Horsens",8700,Horsens,55.893644,10.003375
OK,OK Horsens,"Bøllingvej 1, 8700 Horsens",8700,Horsens,55.825075,9.848976
OK,OK Hedensted,"Overholmvej 1A, 8722 Hedensted",8722,Hedensted,55.76358,9.686274
OK,OK Hedensted,"Bytorvet 30, 8722 Hedensted",8722,Hedensted,55.768227,9.702285
OK,OK Hedensted,"Spettrupvej 1, 8722 Hedensted",8722,Hedensted,55.780085,9.718498
OK,OK Løsning,"Vestergade 44, 8723 Løsning",8723,Løsning,55.803902,9.693287
OK,OK Hovedgård,"Søndervænget 2, 8732 Hovedgård",8732,Hovedgård,55.940906,9.95865
OK,OK Brædstrup,"Søndergade 50, 8740 Brædstrup",8740,Brædstrup,55.968676,9.609252
OK,OK Brædstrup,"Rådhusgade 13, 8740 Brædstrup",8740,Brædstrup,55.97702,9.60894
OK,OK Gedved,"Skovvej 2, 8751 Gedved",8751,Gedved,55.934108,9.844345
OK,OK Østbirk,"Ydingvej 12, 8752 Østbirk",8752,Østbirk,55.968605,9.749891
OK,OK Rask Mølle,"Gl Jernbanevej 6, 8763 Rask Mølle",8763,Rask Mølle,55.872263,9.612096
OK,OK Hornsyld,"Apotekerbakken 1A, 8783 Hornsyld",8783,Hornsyld,55.756217,9.855427
OK,OK Viborg,"Marsk Stigs Vej 2, 8800 Viborg",8800,Viborg,56.444399,9.389837
OK,OK Viborg,"Koldingvej 37, 8800 Viborg",8800,Viborg,56.434847,9.395213
OK,OK Viborg,"Vestre Skivevej 169, 8800 Viborg",8800,Viborg,56.426714,9.084285
OK,OK Viborg,"Bredgade 20, 8800 Viborg",8800,Viborg,56.445238,9.189215
OK,OK Viborg,"Randersvej 64, 8800 Viborg",8800,Viborg,56.452569,9.448715
OK,OK Tjele,"Gartnerbakken 4, 8830 Tjele",8830,Tjele,56.499275,9.7499
OK,OK Tjele,"Østergade 2, 8830 Tjele",8830,Tjele,56.481537,9.625495
OK,OK Løgstrup,"Hovedgaden 1A, 8831 Løgstrup",8831,Løgstrup,56.502479,9.342307
OK,OK Bjerringbro,"Markedsgade 3, 8850 Bjerringbro",8850,Bjerringbro,56.375832,9.654145
OK,OK Ulstrup,"Hovedgaden 23, 8860 Ulstrup",8860,Ulstrup,56.390612,9.794321
OK,OK Langå,"Grenstenvej 1, 8870 Langå",8870,Langå,56.433033,9.945638
OK,OK Thorsø,"Rolighedsvej 6, 8881 Thorsø",8881,Thorsø,56.296837,9.789159
OK,OK Fårvang,"Viborgvej 15, 8882 Fårvang",8882,Fårvang,56.270953,9.728697
OK,OK Randers NV,"Frederiksbergvej 1, 8920 Randers NV",8920,Randers NV,56.485219,9.908992
OK,OK Randers NV,"Mariagervej 135, 8920 Randers NV",8920,Randers NV,56.476914,10.027526
OK,OK Randers NØ,"Udbyhøjvej 326, 8930 Randers NØ",8930,Randers NØ,56.500537,10.127508
OK,OK Randers NØ,"Udbyhøjvej 154, 8930 Randers NØ",8930,Randers NØ,56.472527,10.068026
OK,OK Randers SØ,"Merkurvej 51, 8960 Randers SØ",8960,Randers SØ,56.42907,10.06336
OK,OK Allingåbro,"Hovedgaden 78, 8961 Allingåbro",8961,Allingåbro,56.46383,10.334738
OK,OK Auning,"Centervej 12, 8963 Auning",8963,Auning,56.431929,10.373423
